input_row_key,selected_veridion_id,company_name,website_domain,revenue,employee_count,main_sector,qc_flags
2,45309031-f8ab-11ed-89fe-613148a94f23,3 Step IT A/S.,3stepit.dk,,,Finance & Insurance,missing or 0 revenue; missing or 0 employees
2,45309031-f8ab-11ed-89fe-613148a94f23,3stepIT,3stepit.se,,,,missing or 0 revenue; missing or 0 employees; missing sector
2,45309031-f8ab-11ed-89fe-613148a94f23,3Step IT Oy.,karei.dev,,1.0,,missing or 0 revenue; missing sector; missing geolocation
3,45309031-f8ab-11ed-89fe-613148a94f23,3Step IT Oy.,karei.dev,,1.0,,missing or 0 revenue; missing sector; missing geolocation
3,45309031-f8ab-11ed-89fe-613148a94f23,3stepIT,3stepit.se,,,,missing or 0 revenue; missing or 0 employees; missing sector
3,45309031-f8ab-11ed-89fe-613148a94f23,3 Step IT A/S.,3stepit.dk,,,Finance & Insurance,missing or 0 revenue; missing or 0 employees
6,359bd116-93e5-11eb-b5f6-816dd10ac7b0,3 Step,3step.in,,,,missing or 0 revenue; missing or 0 employees; missing sector; no contact info; missing geolocation
6,359bd116-93e5-11eb-b5f6-816dd10ac7b0,3Step IT Oy.,karei.dev,,1.0,,missing or 0 revenue; missing sector; missing geolocation
6,359bd116-93e5-11eb-b5f6-816dd10ac7b0,3step,three-step.jp,167702.0,8.0,Education,missing geolocation
9,272b8711-93e5-11eb-8e19-198fb02d6f96,Aalborg Hotel,aalborg-airport-hotel-norresundby.booked.net,,,Accommodation & Food Services,missing or 0 revenue; missing or 0 employees; no contact info
9,272b8711-93e5-11eb-8e19-198fb02d6f96,Aalborg City Cup,aalborg-citycup.dk,,75.0,"Arts, Entertainment & Recreation",missing or 0 revenue
13,1000ca72-f7d7-11ed-bb8f-e9ec1594da2e,Acome Xintai Cables Co. Ltd.,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; no contact info; missing geolocation
13,1000ca72-f7d7-11ed-bb8f-e9ec1594da2e,Orient cable,orientcable.com,10234013.0,110.0,Electronics & Appliances,missing geolocation
13,1000ca72-f7d7-11ed-bb8f-e9ec1594da2e,Power Plus Cable,powerpluscable.com,59550584.0,150.0,Electronics & Appliances,missing geolocation
13,1000ca72-f7d7-11ed-bb8f-e9ec1594da2e,Qingdao Acome Machinery Co. Ltd.,acometech.com,8348041.0,150.0,Other Capital Goods,missing geolocation
13,1000ca72-f7d7-11ed-bb8f-e9ec1594da2e,Sunyking,sunyking.com,3517145.0,75.0,Electronics & Appliances,missing geolocation
17,099ed3a8-1afb-11ec-a882-057f42292856,Adobe Systems Software Ireland,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees
17,099ed3a8-1afb-11ec-a882-057f42292856,Adobe X 김씨네 과일,adobe-kimsfruits.com,,,,missing or 0 revenue; missing or 0 employees; missing sector; no contact info; missing geolocation
18,170bf945-d904-11ec-97fb-31cc4a312a12,ADB,adbglobal.com,450000000.0,350.0,Publishers & Media Companies,missing geolocation
18,170bf945-d904-11ec-97fb-31cc4a312a12,Advanced Eco Jet Services SA.,aejets.ch,,,Other Capital Goods,missing or 0 revenue; missing or 0 employees
18,170bf945-d904-11ec-97fb-31cc4a312a12,HYS EVENTS,hys.at,,,Accommodation & Food Services,missing or 0 revenue; missing or 0 employees; missing geolocation
18,170bf945-d904-11ec-97fb-31cc4a312a12,Advanced Digital Broadcast Holdings SA.,adbholdings.com,35800000.0,,IT&C Services,missing or 0 employees; missing geolocation
19,3c9b6969-fdd5-11ef-8bcd-e7d9bf87b1c1,Advanced Energy,,,,Architecture & Engineering Services,missing website; missing or 0 revenue; missing or 0 employees
19,3c9b6969-fdd5-11ef-8bcd-e7d9bf87b1c1,Advanced Intelligent Network Sdn. Bhd.,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees
19,3c9b6969-fdd5-11ef-8bcd-e7d9bf87b1c1,Advanced Security Network Sdn. Bhd.,,,,Other Professional Services,missing website; missing or 0 revenue; missing or 0 employees
19,3c9b6969-fdd5-11ef-8bcd-e7d9bf87b1c1,Advanced Engineering Construction Sdn. Bhd.,,,,Architecture & Engineering Services,missing website; missing or 0 revenue; missing or 0 employees
19,3c9b6969-fdd5-11ef-8bcd-e7d9bf87b1c1,Advanced Network Solutions Sdn. Bhd.,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; no contact info; missing geolocation
20,67227e70-0e27-11ec-a16e-b9ce2504ed80,Advansia,advansia.com,5475238.0,75.0,"Agriculture, Forestry, Fishing and Hunting",missing geolocation
20,67227e70-0e27-11ec-a16e-b9ce2504ed80,Advansia,advansia.co.id,6648736.0,75.0,Raw Materials,missing geolocation
21,2d7be421-93e5-11eb-be5a-4f810ab55f2e,AEGER Ingeniería,aeger.es,2565593.0,30.0,Architecture & Engineering Services,missing geolocation
21,2d7be421-93e5-11eb-be5a-4f810ab55f2e,Aeger Iuris,aeger.pl,,,Legal,missing or 0 revenue; missing or 0 employees
